url_length,number_of_special_characters,_has_ssl,number_of_name_servers,number_of_href_links,has_pop_up,has_input,has_password,number_of_subdomains,has_favicon,NonStdPort,LinksInScriptTags,has_title,has_submit,has_button,has_link,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_TR,number_of_TH,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_a,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,number_link,has_abnormalURL,has_dns_recording,GoogleIndex,double_slash_redirecting,domain_registration_length,statistical_report,https_token,submitting_to_email,count_redirects,has_executable_files,count_javascript_files,Label
15,0,1,2,1,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,0,0,131,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,0,0,0,1
18,0,1,2,166,0,1,1,-1,1,1,1,1,0,1,1,1,1,0,0,15,5,0,0,13,0,0,43,42,56,1,1,1,6275,166,909,0,1,1,0,1,1,23,0,0,0,0,390,0,97,0,-1,1,1,-1,1,1,1,1,0,10,1
14,0,1,0,499,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,2,3,0,128,4,0,0,12,25,48,1,1,1,13396,499,594,0,0,1,0,0,1,8,0,0,0,0,10,0,64,0,-1,1,1,0,1,1,1,1,0,10,1
18,0,1,2,33,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,14,0,0,20,13,822,1,1,1,3977,33,137,0,0,0,0,0,0,40,1,0,0,0,25,0,5,0,1,1,1,0,1,1,1,0,0,10,1
27,0,1,0,225,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,79,2,0,3,80,67,1,1,1,14901,225,1026,0,1,0,0,0,0,33,1,0,0,0,96,2,54,0,-1,1,1,0,1,1,1,0,0,1,1
19,0,1,0,28,0,1,0,0,-1,1,1,1,0,1,1,1,0,0,1,3,5,0,0,0,0,0,4,6,35,1,1,1,2845,28,90,0,1,1,0,0,0,13,0,0,0,1,30,0,2,0,-1,1,1,0,1,1,1,0,0,5,1
18,0,1,0,112,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,10,0,0,0,3,12,1,1,1,3474,112,224,0,1,1,0,1,1,7,0,0,0,0,201,0,100,0,-1,1,1,0,1,1,1,1,0,3,1
19,0,1,0,625,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,16,8,0,0,499,0,0,7,28,34,1,1,1,18763,625,542,0,1,1,0,1,1,8,0,0,1,46,17,0,49,0,-1,1,1,1,1,1,1,0,0,5,1
25,0,1,0,110,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,83,0,0,17,22,46,1,1,0,4983,110,69,0,1,1,0,0,0,21,1,0,0,0,8,0,8,0,-1,1,1,0,1,1,1,1,0,0,1
16,0,1,0,301,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,4,11,0,0,129,0,0,27,46,104,1,1,1,22172,301,666,0,0,1,0,1,0,46,1,0,1,80,471,0,84,0,-1,1,1,-1,1,1,1,0,0,5,1
19,0,1,0,56,0,1,0,0,1,1,-1,1,1,0,1,0,0,0,0,6,0,0,0,22,0,0,19,10,13,1,1,0,1638,56,70,0,1,1,0,0,1,22,1,0,0,0,8,0,21,0,-1,1,1,0,1,1,1,0,0,2,1
17,0,1,0,99,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,3,1,0,0,51,0,0,14,56,44,0,0,0,4312,99,100,0,0,1,0,0,1,7,0,0,0,0,23,0,9,0,-1,1,1,0,1,1,1,1,0,25,1
23,2,1,2,49,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,38,14,2,25,13,92,1,1,0,15294,49,33,0,0,0,0,0,0,40,0,0,0,0,16,2,5,0,-1,1,1,-1,1,1,1,0,0,5,1
