url_length,number_of_special_characters,_has_ssl,number_of_name_servers,number_of_href_links,has_pop_up,has_input,has_password,number_of_subdomains,has_favicon,NonStdPort,LinksInScriptTags,has_title,has_submit,has_button,has_link,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_TR,number_of_TH,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_a,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,number_link,has_abnormalURL,has_dns_recording,GoogleIndex,double_slash_redirecting,domain_registration_length,statistical_report,https_token,submitting_to_email,count_redirects,has_executable_files,count_javascript_files,Label
22,0,1,0,27,0,1,0,0,-1,1,0,1,1,0,0,0,1,0,0,10,0,0,0,0,1,0,1,8,6,0,0,0,268,27,13,0,0,1,0,0,0,2,0,0,0,0,8,1,1,0,-1,1,1,0,1,1,1,1,0,0,0
19,0,1,0,1,0,0,0,0,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,63,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,4,0
13,0,1,3,1,0,0,0,0,-1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,8,1,0,0,241,1,2,0,0,0,0,0,0,9,0,0,0,0,6,0,8,0,-1,1,1,0,1,1,1,0,0,1,0
17,0,1,4,175,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,2,4,0,4,93,0,0,12,23,62,1,1,0,3446,175,224,0,0,1,0,0,1,5,0,0,0,0,124,0,18,0,-1,1,1,1,1,1,1,1,0,1,0
30,0,1,0,27,0,1,0,0,-1,1,0,1,1,0,0,0,1,0,0,10,0,0,0,0,1,0,1,8,6,0,0,0,268,27,13,0,0,1,0,0,0,2,0,0,0,0,8,1,1,0,-1,1,1,0,1,1,1,1,0,0,0
19,0,1,2,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,0,0,0,0
16,1,1,0,2,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,1,0,0,298,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
57,25,1,0,45,0,1,1,-1,1,1,1,1,0,1,1,1,0,0,0,2,4,0,0,44,0,0,0,9,30,0,0,0,930,45,25,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,-1,1,1,0,1,1,1,0,0,8,0
29,1,1,2,20,0,1,0,0,-1,1,1,1,0,1,1,0,0,0,0,13,2,0,0,13,0,0,22,21,47,1,1,0,3955,20,109,0,1,1,0,0,1,3,0,0,0,0,55,0,5,0,0,1,1,0,1,1,1,0,0,8,0
19,0,1,2,29,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,8,0,0,0,30,15,85,1,1,0,3685,29,134,0,0,0,0,1,0,16,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,14,0
17,0,1,2,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
13,1,1,4,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
33,0,1,0,2,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,550,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,0,0
13,1,1,4,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
35,5,1,0,1,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,226,1,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
10,4,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,1,0,0,210,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0,0
14,0,1,2,89,0,1,0,1,1,1,-1,1,1,0,1,0,1,0,0,3,0,0,0,45,1,0,4,25,22,1,1,1,2968,89,70,0,0,1,0,1,1,4,0,0,0,0,9,1,13,0,-1,1,1,1,1,1,1,1,0,22,0
29,0,1,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,3,0
35,1,0,0,12,0,0,0,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,0,3464,12,1,0,0,0,0,0,0,2,0,0,0,0,10,3,3,0,1,1,1,0,1,1,1,0,0,0,0
22,0,1,2,61,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,31,7,0,0,18,0,0,20,52,15,1,1,1,4233,61,400,4,0,1,0,0,1,7,1,0,0,0,88,0,18,0,-1,1,1,0,1,1,1,1,0,2,0
10,3,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0
34,0,1,0,350,0,1,1,-1,1,1,0,1,1,1,1,0,1,0,0,12,1,0,96,149,0,0,9,26,65,0,1,1,13195,350,343,0,0,1,0,1,1,21,1,0,0,0,57,0,118,0,1,1,1,0,1,1,1,0,0,10,0
18,0,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,1,0
33,3,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
17,0,1,2,1,0,0,0,1,1,1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0,0,265,1,5,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,-1,1,1,-1,1,1,1,0,0,4,0
22,0,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,1,0
16,0,1,2,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,107,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,-1,1,1,0,1,1,1,0,0,0,0
25,5,1,2,12,0,1,0,-1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,10,3,0,3,10,1,0,0,440,12,3,0,0,0,0,0,1,2,0,0,0,0,0,1,9,0,-1,1,1,0,1,1,1,0,0,2,0
17,0,1,2,0,0,0,0,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
35,6,1,0,1,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,226,1,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
14,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,9,0,0,0,0,0,0,2,9,52,1,1,0,486,1,49,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,4,0
14,0,1,2,0,0,0,0,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
14,0,1,2,0,0,0,0,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
17,1,1,5,19,0,1,0,1,1,1,-1,1,0,1,1,0,0,0,0,1,1,0,0,22,0,0,12,30,34,1,1,0,2295,19,94,10,1,1,0,0,0,12,1,0,0,0,15,0,24,0,1,1,1,0,1,1,1,0,0,0,0
17,0,1,4,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
17,0,1,4,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
17,0,1,4,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
17,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
17,0,1,2,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0
20,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
20,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
20,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
20,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
14,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
17,0,1,2,169,0,1,1,1,1,1,-1,1,1,1,1,0,1,0,0,40,215,0,0,92,12,3,30,4,37,1,1,1,10948,169,622,0,0,1,1,1,1,6,0,0,0,0,669,1,32,0,1,1,1,0,1,1,1,1,0,1,0
16,2,0,2,0,0,0,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,2,0
32,6,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
10,3,1,4,0,0,0,0,1,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
33,6,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
11,0,1,2,1,0,0,0,0,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,226,1,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,-1,1,1,0,1,1,1,1,0,0,0
34,6,0,0,0,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,0,0
34,8,0,0,0,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,0,0
34,7,0,0,0,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,0,0
11,0,1,2,2,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,0,0,158,2,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
11,0,1,2,2,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,0,0,158,2,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
22,2,0,0,1,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,226,1,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
15,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
17,0,1,0,48,0,1,0,-1,-1,1,1,1,1,1,1,0,1,0,0,22,1,0,25,45,38,0,5,20,19,1,1,0,1958,48,24,0,0,1,0,1,1,4,0,0,0,0,8,16,55,0,1,1,1,0,1,1,1,1,0,8,0
24,2,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,1,0
13,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
